INFO 2025-06-13 16:25:48,801 tasks Starting product expiration check at 2025-06-13 16:25:48.797638+07:00 WIB
INFO 2025-06-13 16:25:49,141 tasks Starting product expiration check at 2025-06-13 16:25:49.141112+07:00 WIB
INFO 2025-06-13 16:25:49,294 tasks Found 5 available products to check
INFO 2025-06-13 16:25:49,462 tasks Starting product expiration check at 2025-06-13 16:25:49.462098+07:00 WIB
INFO 2025-06-13 16:25:49,591 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:49,634 tasks Found 5 available products to check
INFO 2025-06-13 16:25:49,761 tasks Starting product expiration check at 2025-06-13 16:25:49.761956+07:00 WIB
INFO 2025-06-13 16:25:49,914 tasks Found 5 available products to check
INFO 2025-06-13 16:25:49,928 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:50,091 tasks Starting product expiration check at 2025-06-13 16:25:50.091034+07:00 WIB
INFO 2025-06-13 16:25:50,179 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:50,242 tasks Found 5 available products to check
INFO 2025-06-13 16:25:50,421 tasks Starting product expiration check at 2025-06-13 16:25:50.420073+07:00 WIB
INFO 2025-06-13 16:25:50,514 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:50,571 tasks Found 5 available products to check
INFO 2025-06-13 16:25:50,802 tasks Starting product expiration check at 2025-06-13 16:25:50.802392+07:00 WIB
INFO 2025-06-13 16:25:50,854 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:50,883 tasks Found 5 available products to check
INFO 2025-06-13 16:25:51,193 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:51,225 tasks Starting product expiration check at 2025-06-13 16:25:51.225061+07:00 WIB
INFO 2025-06-13 16:25:51,314 tasks Found 5 available products to check
INFO 2025-06-13 16:25:51,594 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:51,631 tasks Starting product expiration check at 2025-06-13 16:25:51.631997+07:00 WIB
INFO 2025-06-13 16:25:51,703 tasks Found 5 available products to check
INFO 2025-06-13 16:25:51,964 tasks Starting product expiration check at 2025-06-13 16:25:51.964007+07:00 WIB
INFO 2025-06-13 16:25:51,972 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:52,065 tasks Found 5 available products to check
INFO 2025-06-13 16:25:52,354 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:52,354 tasks Starting product expiration check at 2025-06-13 16:25:52.354802+07:00 WIB
INFO 2025-06-13 16:25:52,422 tasks Found 5 available products to check
INFO 2025-06-13 16:25:52,683 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:52,705 tasks Starting product expiration check at 2025-06-13 16:25:52.705959+07:00 WIB
INFO 2025-06-13 16:25:52,804 tasks Found 5 available products to check
INFO 2025-06-13 16:25:53,081 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:53,112 tasks Starting product expiration check at 2025-06-13 16:25:53.112912+07:00 WIB
INFO 2025-06-13 16:25:53,124 tasks Found 5 available products to check
INFO 2025-06-13 16:25:53,394 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:53,490 tasks Starting product expiration check at 2025-06-13 16:25:53.490624+07:00 WIB
INFO 2025-06-13 16:25:53,514 tasks Found 5 available products to check
INFO 2025-06-13 16:25:53,775 tasks Starting product expiration check at 2025-06-13 16:25:53.774352+07:00 WIB
INFO 2025-06-13 16:25:53,803 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:53,921 tasks Found 5 available products to check
INFO 2025-06-13 16:25:54,159 tasks Starting product expiration check at 2025-06-13 16:25:54.159482+07:00 WIB
INFO 2025-06-13 16:25:54,194 tasks Found 5 available products to check
INFO 2025-06-13 16:25:54,201 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:54,471 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:54,558 tasks Starting product expiration check at 2025-06-13 16:25:54.558723+07:00 WIB
INFO 2025-06-13 16:25:54,562 tasks Found 5 available products to check
INFO 2025-06-13 16:25:54,859 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:54,927 tasks Starting product expiration check at 2025-06-13 16:25:54.927219+07:00 WIB
INFO 2025-06-13 16:25:54,993 tasks Found 5 available products to check
INFO 2025-06-13 16:25:55,210 tasks Starting product expiration check at 2025-06-13 16:25:55.210931+07:00 WIB
INFO 2025-06-13 16:25:55,271 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:55,363 tasks Found 5 available products to check
INFO 2025-06-13 16:25:55,584 tasks Starting product expiration check at 2025-06-13 16:25:55.584909+07:00 WIB
INFO 2025-06-13 16:25:55,623 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:55,687 tasks Found 5 available products to check
INFO 2025-06-13 16:25:55,916 tasks Starting product expiration check at 2025-06-13 16:25:55.916822+07:00 WIB
INFO 2025-06-13 16:25:55,951 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:55,994 tasks Found 5 available products to check
INFO 2025-06-13 16:25:56,272 tasks Starting product expiration check at 2025-06-13 16:25:56.272277+07:00 WIB
INFO 2025-06-13 16:25:56,299 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:56,354 tasks Found 5 available products to check
INFO 2025-06-13 16:25:56,578 tasks Starting product expiration check at 2025-06-13 16:25:56.578897+07:00 WIB
INFO 2025-06-13 16:25:56,641 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:56,672 tasks Found 5 available products to check
INFO 2025-06-13 16:25:56,964 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:56,964 tasks Starting product expiration check at 2025-06-13 16:25:56.964149+07:00 WIB
INFO 2025-06-13 16:25:57,073 tasks Found 5 available products to check
INFO 2025-06-13 16:25:57,317 tasks Starting product expiration check at 2025-06-13 16:25:57.317898+07:00 WIB
INFO 2025-06-13 16:25:57,380 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:57,438 tasks Found 5 available products to check
INFO 2025-06-13 16:25:57,709 tasks Starting product expiration check at 2025-06-13 16:25:57.709338+07:00 WIB
INFO 2025-06-13 16:25:57,734 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:57,751 tasks Found 5 available products to check
INFO 2025-06-13 16:25:58,029 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:58,089 tasks Starting product expiration check at 2025-06-13 16:25:58.089302+07:00 WIB
INFO 2025-06-13 16:25:58,132 tasks Found 5 available products to check
INFO 2025-06-13 16:25:58,388 tasks Starting product expiration check at 2025-06-13 16:25:58.388890+07:00 WIB
INFO 2025-06-13 16:25:58,394 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:58,520 tasks Found 5 available products to check
INFO 2025-06-13 16:25:58,683 tasks Starting product expiration check at 2025-06-13 16:25:58.683196+07:00 WIB
INFO 2025-06-13 16:25:58,794 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:58,828 tasks Found 5 available products to check
INFO 2025-06-13 16:25:59,031 tasks Starting product expiration check at 2025-06-13 16:25:59.031661+07:00 WIB
INFO 2025-06-13 16:25:59,091 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:59,134 tasks Found 5 available products to check
INFO 2025-06-13 16:25:59,372 tasks Starting product expiration check at 2025-06-13 16:25:59.372100+07:00 WIB
INFO 2025-06-13 16:25:59,421 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:59,443 tasks Found 5 available products to check
INFO 2025-06-13 16:25:59,717 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:25:59,718 tasks Starting product expiration check at 2025-06-13 16:25:59.717412+07:00 WIB
INFO 2025-06-13 16:25:59,795 tasks Found 5 available products to check
INFO 2025-06-13 16:26:00,107 tasks Found 0 products expired more than 2 hours ago
